StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,big_cities_1,computer_preference_1,cook_at_home_1,dairy_products_1,go_to_gym_1,news_phone_1,gender,age,politics_1,zip,attention_check,Q11,MTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"You are visiting a country called Akar.

One of the Akarians says that: ""Akarians like big cities."" 

 

 

What proportions of Akarians do you think like big cities?

 

You can drag the slider bar below to show your results.","You are visiting a country called Boskotia.

One of the Boskotians says that: ""Boskotians like Macs more than PCs."" 


 

What proportions of Boskotians do you think like Macs more than PCs?

 

You can drag the slider bar below to show your results.","You are visiting a country called Sibut.

One of the Sibuti says that: "" Sibuti cook at home ."" 

 

 

What proportions of Sibuti do you think cook at home?


 

You can drag the slider bar below to show your results.","You are visiting a country called Dargau.

One of the Dargauns says that: ""Dargauns consume dairy products."" 

 

 

What proportions of Dargauns do you think consume dairy products?


 

You can drag the slider bar below to show your results.","You are visiting a country called Tulverd.

One of the Tulverdics says that: ""Tulverdics go to the gym."" 

 

 

What proportions of Tulverdics do you think go to the gym?


 

You can drag the slider bar below to show your results.","You are visiting a country called Penseca.

One of the Pensecans says that: ""Pensecans get news on their phones."" 

 

 

What proportions of Pensecans do you think get news on their phones?


 

You can drag the slider bar below to show your results.",What is your gender? Please select one from below.,What is your age? Please enter your age below.,"On a seven-point scale, from very liberal to very conservative, where would you place yourself?

 

You can drag the slider bar below to show your result. - 1",What is your zip code? Please enter your 5-digit US zip code.,"The list below contains some habits that we asked you about earlier and some that we didn't. 

Please select the ones that we asked you about previously.",Let us know if you have any comment about this HIT (optional):,MTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID5_1""}","{""ImportId"":""QID6_1""}","{""ImportId"":""QID2_1""}","{""ImportId"":""QID12_1""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID15""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID18_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""MTurkCode""}"
2018-11-20 20:27:10,2018-11-20 20:28:38,Survey Preview,,100,87,True,2018-11-20 20:28:38,R_2wbouZmuokJRmqs,,,,,41.8022003173828125,-87.6006011962890625,preview,EN,87,65,86,64,44,81,Female,24,4,60615,"like big cities,cook at home,read newspapers",,91739138
2018-11-21 09:53:13,2018-11-21 09:54:12,Survey Preview,,100,58,True,2018-11-21 09:54:13,R_vBt5ESiFhj3JoEF,,,,,41.7812957763671875,-87.6051025390625,preview,EN,54,57,88,68,82,76,Male,46,2,21114,"cook at home,consume dairy products",,94647742
2018-11-21 09:54:32,2018-11-21 09:55:57,Survey Preview,,100,85,True,2018-11-21 09:55:57,R_3KGwmchRT129Q6I,,,,,41.7812957763671875,-87.6051025390625,preview,EN,85,26,93,59,60,84,Female,89,6,60615,watch TV,,20213520
2018-11-21 10:01:41,2018-11-21 10:02:29,Survey Preview,,100,47,True,2018-11-21 10:02:29,R_4Pcy8NxVzUO7kZz,,,,,41.7812957763671875,-87.6051025390625,preview,EN,89,55,73,78,13,71,Male,50,7,13165,"like big cities,cook at home,go to the gym,consume dairy products",,29684670
2018-11-21 10:02:33,2018-11-21 10:03:33,Survey Preview,,100,59,True,2018-11-21 10:03:33,R_1MLMoLIZ2OygUEt,,,,,41.7812957763671875,-87.6051025390625,preview,EN,77,84,13,17,73,43,Female,35,3,32415,"like big cities,cook at home,go to the gym,consume dairy products",,89010895
2018-11-21 10:03:43,2018-11-21 10:04:44,Survey Preview,,100,60,True,2018-11-21 10:04:44,R_3fcN7lDomgSSSTD,,,,,41.7812957763671875,-87.6051025390625,preview,EN,32,92,76,84,8,56,Male,46,4,56732,"like big cities,cook at home,go to the gym,consume dairy products",,54301812
2018-11-21 10:25:20,2018-11-21 10:26:31,Survey Preview,,100,71,True,2018-11-21 10:26:32,R_3kbPtaH3Mron5pZ,,,,,41.7812957763671875,-87.6051025390625,preview,EN,89,89,87,49,52,85,Female,24,6,60605,"like big cities,cook at home,go to the gym,consume dairy products",,24157054
2018-11-21 10:27:18,2018-11-21 10:28:07,Survey Preview,,100,48,True,2018-11-21 10:28:07,R_2wi6hV9BX5FsjC4,,,,,41.7812957763671875,-87.6051025390625,preview,EN,77,24,76,73,34,34,Female,52,6,10036,"like big cities,cook at home,go to the gym,consume dairy products",,61256722
